NH3-NH3       2.6  2.7  2.7  3.2
HF-HF         4.2  4.3  4.2  4.6
H2O-H2O       4.5  4.5  4.6  5.0
NH3-H2O       6.2  6.1  6.4  6.4
HCONH2-HCONH2 13.9 13.9 14.6 14.9
HCOOH-HCOOH   17.1 17.0 18.2 16.2
